object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
167719618,tess,0.0008699509042035399,0.09,non-planet,candidate,PC,710.6982018,2459234.617058,7.1450196,691.3914728,2.0928405,243.9123864,0.8364817,5334.0,4.6001,0.796254,103.092872,-65.097657
150299840,tess,0.00012810299900217886,0.01,non-planet,candidate,PC,19.4723789,2459068.264739,7.7309404,7062.8806063,17.3337286,1052.1008534,289.5679511,7182.7,4.24,1.9674799,95.241796,-60.955781
434105094,tess,0.0117643722344794,1.18,non-planet,candidate,PC,5.4107024,2458357.518293,0.7211954,22498.1066362,2.9859726,299.447353,1.9002158,2938.0,5.14513,0.185013,354.410625,-12.84253
179582003,tess,0.0048951136269206955,0.49,non-planet,candidate,PC,104.6162557,2458413.850483,9.3317949,6111.4633395,15.8235575,562.0116791,23.5777503,6115.26,3.90726,1.97585,80.451368,-69.988217
170789802,tess,0.016367903635959455,1.64,non-planet,candidate,PC,3.4672779,2458438.012099,0.4055928,3657.0603553,2.1135466,492.9988422,13.9606166,3383.0,4.89132,0.332564,69.614731,-31.189335
319610598,tess,0.0013748478795596144,0.14,non-planet,candidate,PC,,2459231.763893,6.4567709,3177.6204985,10.4883207,530.0285587,18.6516855,6930.0,4.10087,1.81171,100.953422,-52.638381
340458804,tess,0.0003309516155973318,0.03,non-planet,candidate,PC,194.2432864,2459039.762461,9.2564583,810.9983952,4.4714848,477.6516387,12.3017271,7923.0,4.35405,1.5184,115.639048,-58.623272
333674399,tess,0.004250071798077733,0.43,non-planet,candidate,PC,20.9040576,2460243.483965,5.197,930.0,4.53003,1260.0,419.568,5708.0,4.44413,1.0,49.305279,15.501727
333674399,tess,0.004250071798077733,0.43,non-planet,candidate,PC,10.9776867,2460258.713478,3.596,860.0,5.76837,1542.0,938.995,5708.0,4.44413,1.0,49.305279,15.501727
333674399,tess,0.0038765735843185028,0.39,non-planet,candidate,PC,20.9040576,2460243.483965,5.197,930.0,4.53003,1260.0,419.568,5708.0,4.44413,1.0,49.305279,15.501727
333674399,tess,0.0038765735843185028,0.39,non-planet,candidate,PC,10.9776867,2460258.713478,3.596,860.0,5.76837,1542.0,938.995,5708.0,4.44413,1.0,49.305279,15.501727
408261725,tess,0.00039582173485338125,0.04,non-planet,candidate,PC,9.7607632,2459488.218864,1.967,790.0,2.22799,653.0,30.3621,5558.0,4.62634,0.8,18.090518,13.75508
