object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,rp,teq,insolation,eccentricity,sma,sy_snum,sy_pnum,stellar_teff,stellar_logg,stellar_radius,stellar_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 215816368.01,k2,6.285773137891848e-08,0.0,non-planet,candidate,CANDIDATE,10.14588,19.43,,,,,1.0,0.0,,,1.198,,295.9133252,-23.4870183,1420.16,15.996,13.878,15.7144
EPIC 215854715.01,k2,8.742308258450939e-08,0.0,non-planet,candidate,CANDIDATE,11.12366,1.8,,,,,1.0,0.0,,,0.8327,,293.2016762,-23.4151604,229.811,12.871,10.745,12.6525
EPIC 215854715.01,k2,8.742308258450939e-08,0.0,non-planet,candidate,CANDIDATE,11.123654,1.71707978,,,,,1.0,0.0,5310.0,4.63,0.820733,,293.2016762,-23.4151604,229.811,12.871,10.745,12.6525
EPIC 215854715.01,k2,3.6488477919760182e-06,0.0,non-planet,candidate,CANDIDATE,11.12366,1.8,,,,,1.0,0.0,,,0.8327,,293.2016762,-23.4151604,229.811,12.871,10.745,12.6525
EPIC 215854715.01,k2,3.6488477919760182e-06,0.0,non-planet,candidate,CANDIDATE,11.123654,1.71707978,,,,,1.0,0.0,5310.0,4.63,0.820733,,293.2016762,-23.4151604,229.811,12.871,10.745,12.6525
EPIC 215894766.01,k2,3.769935904395357e-08,0.0,non-planet,candidate,CANDIDATE,,57.0,,,,,1.0,0.0,,,1.532,,280.6447006,-23.3409988,484.765,13.455,11.071,13.1623
EPIC 215938010.01,k2,6.461329627967203e-08,0.0,non-planet,candidate,CANDIDATE,1.15144,,,,,,1.0,0.0,5809.0,,1.91,,291.401691,-23.2608974,575.697,12.208,10.707,12.0777
EPIC 215938010.01,k2,6.461329627967203e-08,0.0,non-planet,candidate,CANDIDATE,1.151471,12.4,,,,,1.0,0.0,,,1.64,,291.401691,-23.2608974,575.697,12.208,10.707,12.0777
EPIC 215938010.01,k2,1.2906605121893977e-06,0.0,non-planet,candidate,CANDIDATE,1.15144,,,,,,1.0,0.0,5809.0,,1.91,,291.401691,-23.2608974,575.697,12.208,10.707,12.0777
EPIC 215938010.01,k2,1.2906605121893977e-06,0.0,non-planet,candidate,CANDIDATE,1.151471,12.4,,,,,1.0,0.0,,,1.64,,291.401691,-23.2608974,575.697,12.208,10.707,12.0777
EPIC 216050437.01,k2,3.9365385064946876e-08,0.0,non-planet,candidate,CANDIDATE,14.94889,21.9,,,,,1.0,0.0,,,1.69,,293.6160533,-23.0529537,477.026,12.487,10.891,12.29
EPIC 216050437.01,k2,3.9365385064946876e-08,0.0,non-planet,candidate,CANDIDATE,14.948966,36.94985751,,,,,1.0,0.0,6391.0,4.18,1.524443,,293.6160533,-23.0529537,477.026,12.487,10.891,12.29
EPIC 216050437.01,k2,8.50197575279837e-07,0.0,non-planet,candidate,CANDIDATE,14.94889,21.9,,,,,1.0,0.0,,,1.69,,293.6160533,-23.0529537,477.026,12.487,10.891,12.29
EPIC 216050437.01,k2,8.50197575279837e-07,0.0,non-planet,candidate,CANDIDATE,14.948966,36.94985751,,,,,1.0,0.0,6391.0,4.18,1.524443,,293.6160533,-23.0529537,477.026,12.487,10.891,12.29
EPIC 216111905.01,k2,3.277266094890824e-08,0.0,non-planet,candidate,CANDIDATE,3.0203,5.6,,,,,1.0,0.0,,,1.265,,281.3437097,-22.9402478,409.372,13.601,10.998,13.1762
EPIC 216114172.01,k2,5.410572166390075e-08,0.0,non-planet,candidate,CANDIDATE,13.12227,2.02,,,,,1.0,0.0,,,1.004,,295.1508935,-22.9361426,311.378,12.555,10.756,12.4348
EPIC 216114172.01,k2,5.410572166390075e-08,0.0,non-planet,candidate,CANDIDATE,13.125244,1.67711859,,,,,1.0,0.0,5742.0,4.5,0.976723,,295.1508935,-22.9361426,311.378,12.555,10.756,12.4348
EPIC 216114172.01,k2,2.3594845202785576e-06,0.0,non-planet,candidate,CANDIDATE,13.12227,2.02,,,,,1.0,0.0,,,1.004,,295.1508935,-22.9361426,311.378,12.555,10.756,12.4348
EPIC 216114172.01,k2,2.3594845202785576e-06,0.0,non-planet,candidate,CANDIDATE,13.125244,1.67711859,,,,,1.0,0.0,5742.0,4.5,0.976723,,295.1508935,-22.9361426,311.378,12.555,10.756,12.4348
EPIC 216166748.01,k2,5.590919771617981e-08,0.0,non-planet,candidate,CANDIDATE,19.68075,2.55,,,,,1.0,0.0,,,1.079,,291.9220368,-22.8406872,264.321,12.106,10.355,11.9544
EPIC 216166748.01,k2,5.590919771617981e-08,0.0,non-planet,candidate,CANDIDATE,19.679411,2.31529508,,,,,1.0,0.0,5679.0,4.49,1.002168,,291.9220368,-22.8406872,264.321,12.106,10.355,11.9544
EPIC 216166748.01,k2,2.6028454641455042e-06,0.0,non-planet,candidate,CANDIDATE,19.68075,2.55,,,,,1.0,0.0,,,1.079,,291.9220368,-22.8406872,264.321,12.106,10.355,11.9544
EPIC 216166748.01,k2,2.6028454641455042e-06,0.0,non-planet,candidate,CANDIDATE,19.679411,2.31529508,,,,,1.0,0.0,5679.0,4.49,1.002168,,291.9220368,-22.8406872,264.321,12.106,10.355,11.9544
EPIC 216212516.01,k2,9.128029618842507e-08,0.0,non-planet,candidate,CANDIDATE,3.38492,1.48,,,,,1.0,0.0,,,0.528,,282.0968532,-22.7573018,145.158,13.824,10.503,13.2894
EPIC 216231580.01,k2,4.542608504769306e-06,0.0,non-planet,candidate,CANDIDATE,3.90723655504,15.34164425,1199.33,488.9674,,,1.0,0.0,5500.0,4.28377,1.17027,,295.157014,-22.7217407,996.938,14.898,13.091,14.8037
EPIC 216231580.01,k2,4.542608504769306e-06,0.0,non-planet,candidate,CANDIDATE,3.90518,16.3,,,,,1.0,0.0,,,1.282,,295.157014,-22.7217407,996.938,14.898,13.091,14.8037
EPIC 216231580.01,k2,9.994738224487325e-08,0.0,non-planet,candidate,CANDIDATE,3.90723655504,15.34164425,1199.33,488.9674,,,1.0,0.0,5500.0,4.28377,1.17027,,295.157014,-22.7217407,996.938,14.898,13.091,14.8037
EPIC 216231580.01,k2,9.994738224487325e-08,0.0,non-planet,candidate,CANDIDATE,3.90518,16.3,,,,,1.0,0.0,,,1.282,,295.157014,-22.7217407,996.938,14.898,13.091,14.8037
EPIC 216334329.01,k2,4.178959239081964e-08,0.0,non-planet,candidate,CANDIDATE,28.077484,67.3,,,,,1.0,0.0,,,1.54,,288.0767141,-22.5344317,805.464,13.187,11.268,12.9465
EPIC 216357880.01,k2,5.849739149921406e-08,0.0,non-planet,candidate,CANDIDATE,11.86386,2.21,,,,,1.0,0.0,,,0.848,,287.1277235,-22.4921765,218.345,12.792,10.64,12.5475
EPIC 216363472.01,k2,7.041410294807071e-08,0.0,non-planet,candidate,CANDIDATE,8.6929,1.81,,,,,1.0,0.0,,,1.079,,281.6411315,-22.4822622,221.962,12.264,10.104,11.8773
EPIC 216387101.01,k2,4.398414772924459e-08,0.0,non-planet,candidate,CANDIDATE,9.761854,3.4422482,,,,,1.0,0.0,5529.0,3.91,1.770928,,284.0130886,-22.4396719,1133.41,13.13,10.834,12.7914
EPIC 216876207.01,k2,6.620697481641279e-08,0.0,non-planet,candidate,CANDIDATE,32.3204,3.3,,,,,1.0,0.0,,,0.245,,281.4724948,-21.5678736,119.005,17.71,13.064,16.7539
EPIC 216892056.01,k2,7.621142061929532e-08,0.0,non-planet,candidate,CANDIDATE,2.786008,1.9,,,,,1.0,0.0,,,0.42,,291.673532,-21.5401303,45.7494,13.51,9.129,12.526
EPIC 216892056.01,k2,7.621142061929532e-08,0.0,non-planet,candidate,CANDIDATE,2.78592,14.87,,,,,1.0,0.0,3528.0,4.76307,0.470811,0.46848,291.673532,-21.5401303,45.7494,13.51,9.129,12.526
EPIC 216892056.01,k2,1.584982925160433e-06,0.0,non-planet,candidate,CANDIDATE,2.786008,1.9,,,,,1.0,0.0,,,0.42,,291.673532,-21.5401303,45.7494,13.51,9.129,12.526
EPIC 216892056.01,k2,1.584982925160433e-06,0.0,non-planet,candidate,CANDIDATE,2.78592,14.87,,,,,1.0,0.0,3528.0,4.76307,0.470811,0.46848,291.673532,-21.5401303,45.7494,13.51,9.129,12.526
EPIC 217084873.01,k2,1.4046622822551285e-07,0.0,non-planet,candidate,CANDIDATE,8.60133,5.31,,,,,1.0,0.0,,,1.016,,283.2954698,-21.1985855,642.186,14.818,12.499,14.4578
EPIC 217084873.02,k2,1.12531493665239e-07,0.0,non-planet,candidate,CANDIDATE,29.8411,5.23,,,,,1.0,0.0,,,1.016,,283.2954698,-21.1985855,642.186,14.818,12.499,14.4578
EPIC 217149884.01,k2,9.037264069839575e-08,0.0,non-planet,candidate,CANDIDATE,16.692356,17.0,,,,,1.0,0.0,,,0.9,,290.6599385,-21.0839355,908.519,14.459,12.66,14.2398
EPIC 217231249.01,k2,7.764623826299393e-08,0.0,non-planet,candidate,CANDIDATE,4.833191,25.31,,,,,1.0,0.0,,,1.8456,,288.2290343,-20.9394612,1059.57,14.074,12.208,13.9106
EPIC 217393088.01,k2,6.292825386911967e-08,0.0,non-planet,candidate,CANDIDATE,1.3194719,14.3,,,,,1.0,0.0,,,1.31,,289.4391342,-20.6543778,2182.87,15.524,13.971,15.3766
EPIC 217393088.01,k2,6.292825386911967e-08,0.0,non-planet,candidate,CANDIDATE,1.319474,16.6,,,,,1.0,0.0,,,1.54,,289.4391342,-20.6543778,2182.87,15.524,13.971,15.3766
EPIC 217393088.01,k2,2.1240295123026722e-06,0.0,non-planet,candidate,CANDIDATE,1.3194719,14.3,,,,,1.0,0.0,,,1.31,,289.4391342,-20.6543778,2182.87,15.524,13.971,15.3766
EPIC 217393088.01,k2,2.1240295123026722e-06,0.0,non-planet,candidate,CANDIDATE,1.319474,16.6,,,,,1.0,0.0,,,1.54,,289.4391342,-20.6543778,2182.87,15.524,13.971,15.3766
