object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec,koi_model_snr,koi_kepmag
6541920,kepler,0.9999501640148396,100.0,planet,planet,CONFIRMED,22.687155,148.455435,5.4921,960.0,3.2,653.0,42.95,5657.0,4.364,1.046,297.11511,41.909142,122.8,13.709
6541920,kepler,0.9999501640148396,100.0,planet,planet,CONFIRMED,31.99552485,154.160745,4.2817,1376.1,4.12,582.0,27.17,5657.0,4.364,1.046,297.11511,41.909142,128.0,13.709
6541920,kepler,0.9999501640148396,100.0,planet,planet,CONFIRMED,46.6856205,225.04604,6.3794,588.8,2.52,513.0,16.41,5657.0,4.364,1.046,297.11511,41.909142,59.0,13.709
7211141,kepler,0.9997049182317718,99.97,planet,planet,CONFIRMED,51.92920654,151.93321,5.2637,3425.8,8.49,574.0,25.6,5671.0,4.128,1.442,294.96606,42.708569,81.8,15.897
7376983,kepler,0.9992969541725943,99.93,planet,planet,CONFIRMED,5.644914154,356.73699,2.2599,1397.9,2.66,744.0,72.38,4769.0,4.622,0.714,295.8255,42.94339,63.9,15.505
7376983,kepler,0.9992969541725943,99.93,planet,planet,CONFIRMED,8.74292005,358.59286,2.6277,779.5,1.92,643.0,40.33,4769.0,4.622,0.714,295.8255,42.94339,30.7,15.505
7376983,kepler,0.9992969541725943,99.93,planet,planet,CONFIRMED,3.64830183,355.39128,1.9985,371.7,1.33,860.0,129.44,4769.0,4.622,0.714,295.8255,42.94339,19.9,15.505
7376983,kepler,0.9992969541725943,99.93,planet,planet,CONFIRMED,2.345863002,354.11185,1.6795,316.7,1.23,997.0,233.38,4769.0,4.622,0.714,295.8255,42.94339,19.6,15.505
5084942,kepler,0.9999657001525116,100.0,planet,planet,CONFIRMED,3.105507835,133.210427,1.7458,904.6,2.68,980.0,217.91,4989.0,4.585,0.791,287.05173,40.211552,178.6,13.341
11497958,kepler,0.9999982310991644,100.0,planet,planet,CONFIRMED,5.841636615,135.92315,1.8734,1336.3,1.38,446.0,9.38,3526.0,4.866,0.383,286.54001,49.437328,41.1,15.921
11497958,kepler,0.9999982310991644,100.0,planet,planet,CONFIRMED,19.85029495,133.64933,2.8407,1607.5,1.52,297.0,1.83,3526.0,4.866,0.383,286.54001,49.437328,34.4,15.921
11497958,kepler,0.9999982310991644,100.0,planet,planet,CONFIRMED,10.8644095,131.12833,1.853,748.7,1.14,363.0,4.09,3526.0,4.866,0.383,286.54001,49.437328,16.8,15.921
11497958,kepler,0.9999982310991644,100.0,planet,planet,CONFIRMED,63.3354719,162.6161,3.651,983.0,1.18,202.0,0.39,3526.0,4.866,0.383,286.54001,49.437328,13.0,15.921
11497958,kepler,0.9999982310991644,100.0,planet,planet,CONFIRMED,34.1420506,136.03624,2.945,788.0,1.06,248.0,0.89,3526.0,4.866,0.383,286.54001,49.437328,13.3,15.921
11497958,kepler,0.9999996923051552,100.0,planet,planet,CONFIRMED,5.841636615,135.92315,1.8734,1336.3,1.38,446.0,9.38,3526.0,4.866,0.383,286.54001,49.437328,41.1,15.921
11497958,kepler,0.9999996923051552,100.0,planet,planet,CONFIRMED,19.85029495,133.64933,2.8407,1607.5,1.52,297.0,1.83,3526.0,4.866,0.383,286.54001,49.437328,34.4,15.921
11497958,kepler,0.9999996923051552,100.0,planet,planet,CONFIRMED,10.8644095,131.12833,1.853,748.7,1.14,363.0,4.09,3526.0,4.866,0.383,286.54001,49.437328,16.8,15.921
11497958,kepler,0.9999996923051552,100.0,planet,planet,CONFIRMED,63.3354719,162.6161,3.651,983.0,1.18,202.0,0.39,3526.0,4.866,0.383,286.54001,49.437328,13.0,15.921
11497958,kepler,0.9999996923051552,100.0,planet,planet,CONFIRMED,34.1420506,136.03624,2.945,788.0,1.06,248.0,0.89,3526.0,4.866,0.383,286.54001,49.437328,13.3,15.921
11512246,kepler,0.9999922530579581,100.0,planet,planet,CONFIRMED,7.10695741,138.32271,5.1462,131.0,1.72,1157.0,422.8,5761.0,4.091,1.518,294.21893,49.479221,33.8,13.438
